time,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_w,quat_x,quat_y,quat_z
0.160000000,0.613938243,-0.169989245,-0.019783489,0.000575654,-0.007715799,-0.060535408,0.002143624,0.925592587,0.378480736,0.005108934
0.162500000,1.994103416,-0.297773345,0.601957111,0.000833142,-0.014851381,-0.087784594,0.002140949,0.925606923,0.378445793,0.005101304
0.165000000,2.552408183,-0.327488771,0.870124223,0.000690088,-0.035534214,-0.087510502,0.002144797,0.925628339,0.378393275,0.005109562
0.167500000,1.875958672,-0.243175360,0.605405961,0.000792813,-0.057168441,-0.109287985,0.002159548,0.925651458,0.378336166,0.005144000
0.170000000,0.381033716,-0.076887076,-0.013952436,0.000817390,-0.067030007,-0.115509558,0.002181651,0.925683977,0.378255751,0.005196411
0.172500000,-1.109321603,0.122736577,-0.633681559,0.000926088,-0.058736043,-0.116626883,0.002203917,0.925713560,0.378182488,0.005249112
0.175000000,-1.775913506,0.293419940,-0.899666806,0.001209808,-0.038569904,-0.125005651,0.002218865,0.925748389,0.378096641,0.005284506
0.177500000,-1.202615777,0.379645619,-0.632123398,0.001180837,-0.019200233,-0.106834933,0.002223148,0.925777290,0.378025713,0.005294152
0.180000000,0.198400129,0.362945793,-0.009863855,0.001370610,-0.013132302,-0.117065188,0.002220877,0.925805216,0.377957412,0.005288096
0.182500000,1.608327352,0.245804117,0.611819414,0.001057385,-0.026669869,-0.096873199,0.002220246,0.925829843,0.377897118,0.005285880
0.185000000,2.209666643,0.071072706,0.879341764,0.001032775,-0.053242461,-0.110227365,0.002229120,0.925850527,0.377846101,0.005306314
0.187500000,1.590462829,-0.110207655,0.613633137,0.000818361,-0.079980349,-0.106269099,0.002251555,0.925875444,0.377784157,0.005359445
0.190000000,0.163449975,-0.247130044,-0.007680845,0.000910564,-0.094040796,-0.119391222,0.002283643,0.925898024,0.377727531,0.005435642
0.192500000,-1.248977464,-0.298244114,-0.629915431,0.001196062,-0.088837875,-0.135701347,0.002317491,0.925931188,0.377644850,0.005516502
0.195000000,-1.830405065,-0.256424738,-0.898250406,0.001441067,-0.070600275,-0.140223305,0.002345233,0.925964949,0.377560917,0.005582760
