time,a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
1769645286.624344,-9.833811,0.208632,0.231946,-0.001069,-0.010843,0.000153,-9.640123,0.156624,0.398135,0.017104,-0.021991,0.004429,-9.673002,0.416069,0.271999,-0.003665,-0.009468,-0.002138,-9.460185,0.267217,0.384983,0.013744,-0.005040,-0.005345
1769645286.624344,-9.880439,0.050813,0.132712,-0.005498,-0.016799,0.001985,-9.664036,0.009565,0.231946,0.006872,-0.021075,0.007025,-9.713055,0.245696,0.219990,-0.003665,-0.009163,-0.001374,-9.489478,0.092061,0.270206,0.009316,-0.005040,-0.001222
1769645286.625328,-9.959349,0.049617,0.295313,-0.011606,-0.018937,-0.002443,-9.757292,0.070540,0.270206,0.006872,-0.018021,0.002291,-9.885221,0.264228,0.395146,-0.007941,-0.001374,-0.003818,-9.667024,0.164993,0.321616,0.002596,-0.000611,-0.005345
1769645286.625328,-10.065758,0.071736,0.436394,-0.019853,-0.015882,-0.004429,-9.855330,-0.007174,0.399928,-0.002596,-0.016188,-0.001374,-9.843973,0.277379,0.482425,-0.020617,-0.001833,-0.007636,-9.637732,0.078312,0.453132,-0.007789,0.001069,-0.009010
1769645286.625328,-9.849353,-0.065160,0.274988,-0.029322,-0.013439,0.000153,-9.637732,-0.087279,0.388570,-0.011454,-0.024893,0.002291,-9.696316,0.153635,0.340746,-0.020617,-0.006261,-0.001222,-9.457794,0.021521,0.426231,-0.012065,-0.004123,-0.003665
1769645286.625328,-9.745336,-0.416069,0.499761,-0.032529,-0.015882,0.000153,-9.521759,-0.483620,0.430416,-0.016341,-0.021991,0.004276,-9.536106,-0.190100,0.451937,-0.033139,-0.001833,-0.002596,-9.331658,-0.400526,0.358082,-0.013592,-0.004123,-0.002749
1769645286.625328,-9.373504,-0.600191,0.112386,-0.027489,-0.015882,0.001069,-9.192968,-0.643233,0.176949,-0.018937,-0.020311,0.005498,-9.198947,-0.414275,0.064562,-0.033139,-0.005803,-0.000916,-8.993303,-0.547585,0.081301,-0.008552,0.000153,-0.003207
1769645286.625328,-9.373504,-0.600191,0.112386,-0.027489,-0.016799,0.001069,-9.078191,-0.752032,0.200861,-0.012217,-0.012065,0.004123,-9.094332,-0.522477,0.056193,-0.028405,0.004429,0.001527,-8.916785,-0.659971,0.156624,-0.004734,0.007483,-0.004429
1769645286.625328,-9.499043,-0.824964,0.773553,-0.013286,-0.006567,0.000764,-9.292801,-0.869201,0.610952,-0.007025,-0.009010,0.003665,-9.323289,-0.597202,0.752032,-0.017562,0.006109,-0.000458,-9.114058,-0.795074,0.526064,-0.001374,0.008552,-0.003665
1769645286.625328,-9.873264,-0.918819,1.041368,-0.009010,-0.006414,-0.002138,-9.583930,-0.912243,0.878766,-0.002443,-0.007789,0.000611,-9.754303,-0.713773,0.925394,-0.017562,0.008858,-0.005498,-9.556431,-0.796270,0.667743,0.006720,0.008552,-0.005040
1769645286.625328,-9.736369,-0.801052,0.470469,-0.007636,-0.000916,-0.005192,-9.495455,-0.826160,0.625897,0.004581,-0.017257,0.000305,-9.573170,-0.598996,0.302487,-0.011454,-0.000611,-0.007483,-9.360353,-0.712578,0.417264,0.007941,0.010690,-0.009468
1769645286.626323,-9.953967,-0.468077,0.441176,0.001680,-0.009774,-0.006872,-9.745336,-0.437590,0.271401,0.005803,-0.014966,-0.004429,-9.870873,-0.254663,0.414873,-0.006261,0.002138,-0.008399,-9.644308,-0.333572,0.209230,0.016646,0.001069,-0.012828
1769645286.626323,-10.617526,0.060976,1.366571,0.000611,-0.012065,-0.014966,-10.352701,-0.140483,0.563128,0.014813,0.001833,-0.011912,-10.257052,0.232544,1.233859,0.000764,0.018021,-0.017104,-10.108200,-0.025108,0.506934,0.014966,0.001069,-0.018326
